refno,state,priority,impact,urgency,prev_state,ka_ref,closure_code,class
INC0003366628,0.99,0.499,0.398,0.398,0.99, KB104497,Troubleshooting Fix,Configuration Issue
INC0003394282,0.99,0.499,0.398,0.398,Solved Proposed, KB23564,Suggested SS/FLF, Data Issue
INC0003404244,0.99,0.499,0.398,0.398,Solved Proposed,?, No Fault Found, Monitoring
INC0003406744,0.99,0.499,0.398,0.398,Solved Proposed, KB0180849,Troubleshooting Fix, Batch Issue
INC0003412953,0.99,0.499,0.398,0.398,Solved Proposed, KB23443,Suggested SS/FLF, General Error
INC0003443046,0.99,0.499,0.398,0.398,Solved Proposed, KB0177838,Troubleshooting Fix, Performance
INC0003444113,0.99,0.499,0.398,0.398,Solved Proposed,?,Troubleshooting Fix,Configuration Issue
INC0003444144,0.99,0.499,0.398,0.398,Solved Proposed, KB0168455,Configuration,Configuration Issue
INC0003444196,0.99,0.499,0.398,0.398,Solved Proposed,?,Configuration,Configuration Issue
INC0003444829,0.99,0.499,0.398,0.398,Solved Proposed,?,Suggested SS/FLF,Configuration Issue
INC0003445280,0.99,0.499,0.398,0.398,Solved Proposed, KB0177838,Troubleshooting Fix, Unavailable
INC0003448724,0.99,0.499,0.398,0.398,Solved Proposed,?, Cancelled, General Error
INC0003448771,0.99,0.499,0.398,0.398,Solved Proposed,?,Troubleshooting Fix, Data Issue
INC0003449574,0.99,0.499,0.398,0.8,Solved Proposed,?,Configuration,Configuration Issue
INC0003449707,0.99,0.499,0.398,0.398,Solved Proposed,?,Configuration,Configuration Issue
INC0003452818,0.99,0.499,0.398,0.6,Solved Proposed,?,Troubleshooting Fix, Batch Issue
INC0003464963,0.99,0.499,0.398,0.398,Solved Proposed,?,Configuration,Configuration Issue
INC0003470107,0.99,0.499,0.398,0.398,Solved Proposed,?,Suggested SS/FLF,Configuration Issue
INC0003472490,0.99,0.499,0.398,0.398,Solved Proposed,?,Troubleshooting Fix,Configuration Issue
INC0003472728,0.99,0.499,0.398,0.398,Solved Proposed,?,Suggested SS/FLF, General Error
INC0003477597,0.99,0.499,0.398,0.398,Solved Proposed,?,Troubleshooting Fix, Data Issue
INC0003486575,0.99,0.499,0.398,0.398,Solved Proposed,?,Configuration,Configuration Issue
INC0003488274,0.99,0.499,0.398,0.398,Solved Proposed,?,Troubleshooting Fix, Data Issue
INC0003492931,0.99,0.499,0.398,0.398,Solved Proposed, KB23466,Configuration, Access/Authentication
INC0003542141,0.99,0.499,0.398,0.398,Solved Proposed, KB0177838,Troubleshooting Fix, Performance
INC0003544628,0.99,0.499,0.398,0.398,Solved Proposed,?,Troubleshooting Fix,Configuration Issue
INC0003544960,0.99,0.499,0.398,0.398,Solved Proposed,?, Technical Failure, Unavailable
INC0003545006,0.99,0.499,0.398,0.398,Solved Proposed, KB0177838,Troubleshooting Fix, Unavailable
INC0003590938,0.99,0.499,0.398,0.398,Solved Proposed, KB27009,Troubleshooting Fix, General Error
