Incident CI Primary,Incident State,Incident Priority,Incident Impact,Incident Urgency,Incident Previous State,Incident Knowledge Article Reference,Incident Closure Code,Incident Symptom Code
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB23674, Troubleshooting Fix, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB23674, Troubleshooting Fix, General Error
 1, 0.99, 0.499, 0.398, 0.398, 0.99, KB30350, Suggested SS/FLF, Configuration Issue
 1, 0.99, 0.499, 0.398, 0.398, Solved Proposed, , Capacity, Capacity Issue
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, KB27020, Suggested SS/FLF, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Confirmed, , Cancelled, General Error
 1, 0.99, 0.499, 0.398, 0.398, 0.99, , External, Batch Issue
 1, 0.99, 0.499, 0.398, 0.398, 0.99, KB23630, Troubleshooting Fix, General Error
 1, 0.99, 0.499, 0.398, 0.398, 0.99, , Troubleshooting Fix, Configuration Issue
 1, 0.99, 0.499, 0.398, 0.398, Solved Proposed, , Troubleshooting Fix, Performance
 1, 0.99, 0.499, 0.398, 0.398, Solved Proposed, KB0177938, Troubleshooting Fix, Performance
 1, 0.99, 0.499, 0.398, 0.398, Awaiting Assignment, , Cancelled, General Error
 1, 0.99, 0.499, 0.398, 0.398, 0.99, KB104497, Troubleshooting Fix, Configuration Issue
 1, 0.99, 0.499, 0.398, 0.398, Solved Proposed, KB23564, Suggested SS/FLF, Data Issue
 1, 0.99, 0.499, 0.398, 0.398, Solved Proposed, , No Fault Found, Monitoring
 1, 0.99, 0.499, 0.398, 0.398, Solved Proposed, KB0180849, Troubleshooting Fix, Batch Issue
 1, 0.99, 0.499, 0.398, 0.398, Solved Proposed, KB23443, Suggested SS/FLF, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Proposed, KB0177838, Troubleshooting Fix, Performance
 1, 0.99, 0.499, 0.398, 0.398, Solved Proposed, , Troubleshooting Fix, Configuration Issue
 1, 0.99, 0.499, 0.398, 0.398, Solved Proposed, KB0168455, Configuration, Configuration Issue
 1, 0.99, 0.499, 0.398, 0.398, Solved Proposed, , Configuration, Configuration Issue
 1, 0.99, 0.499, 0.398, 0.398, Solved Proposed, , Suggested SS/FLF, Configuration Issue
 1, 0.99, 0.499, 0.398, 0.398, Solved Proposed, KB0177838, Troubleshooting Fix, Unavailable
 1, 0.99, 0.499, 0.398, 0.398, Solved Proposed, , Cancelled, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Proposed, , Troubleshooting Fix, Data Issue
 1, 0.99, 0.499, 0.398, 0.80, Solved Proposed, , Configuration, Configuration Issue
 1, 0.99, 0.499, 0.398, 0.398, Solved Proposed, , Configuration, Configuration Issue
 1, 0.99, 0.499, 0.398, 0.60, Solved Proposed, , Troubleshooting Fix, Batch Issue
 1, 0.99, 0.499, 0.398, 0.398, Solved Proposed, , Configuration, Configuration Issue
 1, 0.99, 0.499, 0.398, 0.398, Solved Proposed, , Suggested SS/FLF, Configuration Issue
 1, 0.99, 0.499, 0.398, 0.398, Solved Proposed, , Troubleshooting Fix, Configuration Issue
 1, 0.99, 0.499, 0.398, 0.398, Solved Proposed, , Suggested SS/FLF, General Error
 1, 0.99, 0.499, 0.398, 0.398, Solved Proposed, , Troubleshooting Fix, Data Issue
 1, 0.99, 0.499, 0.398, 0.398, Solved Proposed, , Configuration, Configuration Issue
 1, 0.99, 0.499, 0.398, 0.398, Solved Proposed, , Troubleshooting Fix, Data Issue
 1, 0.99, 0.499, 0.398, 0.398, Solved Proposed, KB23466, Configuration, Access/Authentication
 1, 0.99, 0.499, 0.398, 0.398, Solved Proposed, KB0177838, Troubleshooting Fix, Performance
 1, 0.99, 0.499, 0.398, 0.398, Solved Proposed, , Troubleshooting Fix, Configuration Issue
 1, 0.99, 0.499, 0.398, 0.398, Solved Proposed, , Technical Failure, Unavailable
 1, 0.99, 0.499, 0.398, 0.398, Solved Proposed, KB0177838, Troubleshooting Fix, Unavailable
 1, 0.99, 0.499, 0.398, 0.398, Solved Proposed, KB27009, Troubleshooting Fix, General Error
